url,id,title,released_year,runtime,genre,rate,description,directed_by,cast,votes
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_159,Alexandria... Why?,1979,133 min,Drama,7.3,"""Yahia"", a young man living in the cosmopolitan Alexandria during World War II. Between his dreams, which up to Hollywood and constraints of his life in the middle class trying to be a new ...                 »",Youssef Chahine,"Naglaa Fathi,Ahmad Zaki,Farid Shawqi,Mahmoud Almeleji",956
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_160,Marilyn: The Untold Story,1980,156 min,"Biography, Drama",6.7,"The story of how Norma Jean, once an orphan in Hollywood, becomes Marilyn Monroe, the movie star and celebrity. The movie begins with her as a child and ends with the mysterious way she ...                 »",Jack Arnold,"John Flynn,Lawrence Schiller,Catherine Hicks,Richard Basehart",182
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_161,Unscripted,2005,30 min,"Comedy, Drama",7.2,Three young actors try to make it big in Hollywood.,Krista Allen,"Bryan Greenberg,Jennifer Hall,Frank Langella",375
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_162,Los Angeles Overnight,2018,93 min,Thriller,6,A struggling actress inherits a bevy of colorful villains after desperation (with a touch of femme fatale) drives her and her gullible boyfriend to steal big from the Los Angeles underworld.,Michael Chrisoulakis,"Arielle Brachfeld,Peter Bogdanovich,Lin Shaye,Sally Kirkland",315
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_163,Bracken's World,1969,60 min,Drama,7.5,"Behind the scenes at the fictitious Century Studios in Hollywood, headed by the (initially) unseen John Bracken.",Elizabeth Allen,"Peter Haskell,Linda Harrison,Laraine Stephens",91
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_164,Jenny,1997,30 min,Comedy,5.3,"After inheriting a residence in Hollywood, Jenny and her friend leave their crappy jobs in Utica, New York. The house being mortgage afflicted, they must rent the guest house to two ...                 »",Jenny McCarthy,"Heather Dubrow,Dale Godboldo,Rafer Weigel",95
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_165,Primetime Glick,2001,22 min,"Comedy, Music",7.4,"Talk-show parody featuring obese host Jiminy Glick, who usually knows nothing about his guests and hurls veiled insults at them during his interviews.",Martin Short,"Michael McKean,Brett Gilbert,Jackie Stevens",740
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_166,Steven Spielberg's Director's Chair,1996,,Family,5.6,"Steven Spielberg's Director's Chair is a moviemaking simulation game. In the game, the player is guided by Steven Spielberg (appearing as himself) through the comprehensive process of ...                 »",Patrick Algermissen,"Alexandra Collett,Eric Eckstein,Greg Hammond,Steven Spielberg",240
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_167,Billy's Hollywood Screen Kiss,1998,92 min,"Comedy, Romance",7,Billy is a gay fine-arts photographer who falls in love with straight coffee-shop waiter Gabriel.,Tommy O'Haver,"Sean Hayes,Brad Rowe,Armando Valdes-Kennedy,Mr. Dan",3423
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_168,Dawn: Portrait of a Teenage Runaway,1976,100 min,Drama,7,"15 year old Dawn runs away from what she feels is an intolerable home life. In the big city, she ends up turning to prostitution when she is unable to get a job due to her age. Life at home...                 »",Randal Kleiser,"Eve Plumb,Leigh McCloskey,Lynn Carlin,William Schallert",278
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_169,Confessions of an Action Star,2005,83 min,"Action, Comedy, Musical",2.9,"In the spring of 1986, no one had heard of Frank Sledge. One year later, Bloodfight 2 was #1 at the box office... And a star was born.",Brad Martin,"Holmes Osborne,David Leitch,Kelly Hu,Eric Roberts",582
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_170,The Goddess,1958,104 min,Drama,6.8,A woman adored by the people around her ultimately struggles to be happy with herself.,John Cromwell,"Kim Stanley,Lloyd Bridges,Steven Hill,Betty Lou Holland",663
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_171,The Last Command,1928,88 min,"Drama, History, Romance",8,A former Imperial Russian general and cousin of the Czar ends up in Hollywood as an extra in a movie directed by a former revolutionary.,Josef von Sternberg,"Emil Jannings,Evelyn Brent,William Powell,Jack Raymond",2764
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_172,Django Lives!,,,"Action, Crime, Drama",,The renowned gunslinger fends off racism in 1914 America. He's up in years but still as deadly as ever.,Christian Alvart,Franco Nero,0
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_173,How to Kill Your Neighbor's Dog,2000,107 min,"Comedy, Drama",7,"Shy, chain-smoking, insomniac Peter McGowan is an L.A. playwright with a string of hits that preceded his current ten years of failed productions. His mother-in-law is sinking into senility...                 »",Michael Kalesniko,"Kenneth Branagh,Robin Wright,Suzi Hofrichter,Lynn Redgrave",3294
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_174,The Ratings Game,1984,102 min,"Comedy, Romance",6.2,A New Jersey trucker creates a hit TV show with help from his girlfriend in the ratings business.,Danny DeVito,"Danny DeVito,Rhea Perlman,Gerrit Graham,Bernadette Birkett",434
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_175,Brown Paper Bag,2018,,Drama,,"The year is 1942, and Archie Glass Is trying to get into Hollywood. His chance comes as he is offered a job: Find a young white movie star before the press reports that she is missing and ...                 »",Detdrich McClure,"Tiara Parker,Antonio D. Charity,Mike Duff,Chris Gardner",0
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_176,Ivansxtc,2000,93 min,Drama,6.6,"Update on Leo Tolstoy's ""The Death of Ivan Ilyich,"" set in contemporary Hollywood.",Bernard Rose,"Danny Huston,Peter Weller,Lisa Enos,Joanne Duckman",1120
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_177,Kathy Griffin: My Life on the D-List,2005,60 min,"Comedy, Reality-TV",7.3,"With a quick wit and a lot of nerve, comedienne Kathy Griffin sets out on her wacky and shenanigan-filled journey from a D- to A-List celebrity.",Kathy Griffin,"Maggie Griffin,Tiffany Rinehart,Tom Vize,",2042
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_178,Hollywood Uncensored,1987,75 min,Documentary,5.9,"Douglas Fairbanks Jr. and later in the movie Peter Fonda narrate the story about the censorship, exploitation and sex in Hollywood movies from the 1930s and the Hays' Motion Picture Production Code to the present day era.",James Forsher,"Douglas Fairbanks Jr.,Peter Fonda,Carroll Baker,Ira Barmak",106
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_179,The Uncanny,1977,89 min,Horror,5.5,"Wilbur Gray, a horror writer, has stumbled upon a terrible secret, that cats are supernatural creatures who really call the shots. In a desperate attempt to get others to believe him, Wilbur spews three tales of feline horror.",Denis Héroux,"Peter Cushing,Ray Milland,Joan Greenwood,Roland Culver",840
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_180,Movie Stars,1999,30 min,Comedy,6.1,,Harry Hamlin,"Jennifer Grant,Mark Benninghoffen,Marnette Patterson,",76
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_181,Lookin' Italian,1994,97 min,"Crime, Drama, Romance",5.2,"After an unfortunate incident causes him to leave the ""family business"" and move to Los Angeles, Vinny Pallazzo is living a quiet life. When his nephew, Anthony, moves in with him, Vinny ...                 »",Guy Magar,"Jay Acovone,Matt LeBlanc,Stephanie Richards,Lou Rawls",218
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_182,Wings of Fame,1990,116 min,"Comedy, Drama, Fantasy",7.1,"A famous movie actor (Peter O'Toole) claims that he has written a book. As result, a real author, not a very well known writer, vengenfully kills him but then dies as a result of an ...                 »",Otakar Votocek,"Peter O'Toole,Colin Firth,Marie Trintignant,Andréa Ferréol",651
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_183,The Scarlett O'Hara War,1980,98 min,Drama,7.3,The film follows the trials and tribulations of  as he attempts to find an actress to play the role of Scarlett O'Hara in  (1939).,John Erman,"Tony Curtis,Bill Macy,Harold Gould,Sharon Gless",331
