url,id,title,release_year,genre,description,directed_by,cast,cast,cast,cast,runtime,rate,votes,,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,54,All Nighter,2017,"Comedy, Drama","A workaholic father who attempts to visit his daughter during a layover in LA, only to discover that she's disappeared, is forced to team up with her awkward ex-boyfriend to find her over the course of one transformative night.",Gavin Wiesen,Analeigh Tipton,Emile Hirsch,J.K. Simmons,Meta Golding,86 min,5.7,"4,720",Removed from Watchlist,Undo,"https://www.imdb.com/search/keyword?keywords=hollywood&sort=moviemeter,asc&mode=detail&page=2&ref_=kw_nxt#",https://www.imdb.com/title/tt0493430/?ref_=kw_li_i,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,55,Jackass Number Two,2006,"Documentary, Action, Comedy","Chris Pontius, Johnny Knoxville, Steve-O, Bam Margera, and the whole crew return to the screen to raise the stakes higher than ever before.",Jeff Tremaine,Johnny Knoxville,Steve-O,Chris Pontius,Bam Margera,92 min,7.1,"61,363",Removed from Watchlist,Undo,"https://www.imdb.com/search/keyword?keywords=hollywood&sort=moviemeter,asc&mode=detail&page=2&ref_=kw_nxt#",https://www.imdb.com/title/tt0100395/?ref_=kw_li_i,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,56,Postcards from the Edge,1990,"Comedy, Drama",A substance-addicted actress tries to look on the bright side even as she is forced to move back in with her mother to avoid unemployment.,Mike Nichols,Meryl Streep,Shirley MacLaine,Dennis Quaid,Gene Hackman,101 min,6.7,"13,533",Removed from Watchlist,Undo,"https://www.imdb.com/search/keyword?keywords=hollywood&sort=moviemeter,asc&mode=detail&page=2&ref_=kw_nxt#",https://www.imdb.com/title/tt0080756/?ref_=kw_li_i,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,57,Foxes,1980,Drama,"A group of four teenage girls come of age in the asphalt desert of Los Angeles' San Fernando Valley arranged with a blazing soundtrack and endless drinking, drugs and sex.",Adrian Lyne,Jodie Foster,Cherie Currie,Marilyn Kagan,Kandice Stroh,106 min,6.1,"3,460",Removed from Watchlist,Undo,"https://www.imdb.com/search/keyword?keywords=hollywood&sort=moviemeter,asc&mode=detail&page=2&ref_=kw_nxt#",https://www.imdb.com/title/tt0486674/?ref_=kw_li_i,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,58,What Just Happened,2008,"Comedy, Drama",Two weeks in the life of a fading Hollywood producer who's having a rough time trying to get his new picture made.,Barry Levinson,Robert De Niro,John Turturro,Stanley Tucci,Sean Penn,104 min,5.7,"25,023",Removed from Watchlist,Undo,"https://www.imdb.com/search/keyword?keywords=hollywood&sort=moviemeter,asc&mode=detail&page=2&ref_=kw_nxt#",https://www.imdb.com/title/tt0084370/?ref_=kw_li_i,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,59,My Favorite Year,1982,"Comedy, Drama",A dissolute matinee idol is slated to appear on a live TV variety show.,Richard Benjamin,Peter O'Toole,Mark Linn-Baker,Jessica Harper,Joseph Bologna,92 min,7.4,"7,721",Removed from Watchlist,Undo,"https://www.imdb.com/search/keyword?keywords=hollywood&sort=moviemeter,asc&mode=detail&page=2&ref_=kw_nxt#",https://www.imdb.com/title/tt1032819/?ref_=kw_li_i,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,60,Powder Blue,2009,Drama,"Four Los Angelenos, a mortician, an ex-con, a suicidal ex-priest, and a stripper, are brought together on Christmas Eve by a mixture of circumstances.",Timothy Linh Bui,Jessica Biel,Eddie Redmayne,Forest Whitaker,Ray Liotta,106 min,6.3,"13,187",Removed from Watchlist,Undo,"https://www.imdb.com/search/keyword?keywords=hollywood&sort=moviemeter,asc&mode=detail&page=2&ref_=kw_nxt#",https://www.imdb.com/title/tt4428124/?ref_=kw_li_i,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,61,Wicked City,2015,"Crime, Drama",A pair of LAPD detectives track down serial killers terrorizing the Sunset Strip.,Jeremy Sisto,Taissa Farmiga,Gabriel Luna,Jaime Ray Newman,,42 min,6.6,"2,675",Removed from Watchlist,Undo,"https://www.imdb.com/search/keyword?keywords=hollywood&sort=moviemeter,asc&mode=detail&page=2&ref_=kw_nxt#",https://www.imdb.com/title/tt0118829/?ref_=kw_li_i,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,62,Cats Don't Dance,1997,"Animation, Comedy, Family","Danny, an ambitious singing and dancing cat, goes to Hollywood and overcomes several obstacles to fulfill his dream of becoming a movie star.",Mark Dindal,Scott Bakula,Jasmine Guy,Natalie Cole,Ashley Peldon,75 min,6.9,"6,258",Removed from Watchlist,Undo,"https://www.imdb.com/search/keyword?keywords=hollywood&sort=moviemeter,asc&mode=detail&page=2&ref_=kw_nxt#",https://www.imdb.com/title/tt2487028/?ref_=kw_li_i,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,63,Walk of Fame,2017,Comedy,A motley crew of aspiring performers come under the guidance of an eccentric and volatile acting coach.,Jesse Thomas,Scott Eastwood,Malcolm McDowell,Chris Kattan,Jamie Kennedy,93 min,3.1,629,Removed from Watchlist,Undo,"https://www.imdb.com/search/keyword?keywords=hollywood&sort=moviemeter,asc&mode=detail&page=2&ref_=kw_nxt#",https://www.imdb.com/title/tt0108734/?ref_=kw_li_i,,,,
