image,url,id,title,release_year,runtime,genre,rate,description,directed_by,cast,cast,cast,cast,votes
https://www.imdb.com/title/tt0119239/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,35,Gupt: The Hidden Truth,1997,173 min,"Action, Crime, Drama",7.4,"Governor Jaisingh Sinha is murdered and the needle of suspicion points towards his estranged son, Sahil Sinha who must prove his innocence.",Rajiv Rai,Bobby Deol,Manisha Koirala,Kajol,Prem Chopra,"3,905"
https://www.imdb.com/title/tt0459133/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,36,Shabnam Mausi,2005,,Drama,6.3,,Yogesh Bharadwaj,Ashutosh Rana,Sujeet Chaubey,Rashami Desai,Jass Khera,44
https://www.imdb.com/title/tt0297416/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,37,Superman,1987,123 min,Sci-Fi,4.2,"A young baby from the doomed planet Krypton is sent to Earth, where he is adopted by an elderly couple in India who name him Shekhar. After growing to an adult and learning about his ...                 »",B. Gupta,Puneet Issar,Sonia Sahni,Dharmendra,Shakti Kapoor,220
https://www.imdb.com/title/tt4467202/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,38,Hero,2015,145 min,"Action, Drama, Romance",3.7,"A boy and a girl find themselves stuck in a whirlpool of such intense love that they would do anything, go to any extent and face all odds for the one they love.",Nikkhil Advani,Suraj Pancholi,Athiya Shetty,Tigmanshu Dhulia,Aditya Pancholi,"1,904"
https://www.imdb.com/title/tt1773109/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,39,Yamla Pagla Deewana,2011,163 min,"Action, Comedy, Drama",5.7,A married Canadian travels to India to re-unite with his estranged father and brother but faces obstacles and challenges.,Samir Karnik,Nafisa Ali,Yugesh Anil,Madhuri Bhattacharya,Emma Brown Garett,"3,421"
https://www.imdb.com/title/tt0321494/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,40,Bollywood Queen,2002,89 min,"Musical, Romance",4.7,A cross cultural romance set in London's East End about a young girl of Indian heritage.,Jeremy Wooding,Preeya Kalidas,James McAvoy,Ray Panthaki,Ciarán McMenamin,422
https://www.imdb.com/title/tt1764581/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,41,Save Your Legs!,2012,92 min,"Comedy, Sport",5.5,"Edward 'Teddy' Brown lives for his suburban cricket club and his two best friends, Rick and Stavros. But when he realizes that his beloved team mates are moving on and growing up, he's ...                 »",Boyd Hicklin,Stephen Curry,Brendan Cowell,Damon Gameau,David Lyons,455
https://www.imdb.com/title/tt1227524/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,42,Aashayein,2010,120 min,Drama,7.1,A man meets with assorted characters in a nursing home after being diagnosed with cancer.,Nagesh Kukunoor,John Abraham,Anaitha Nair,Girish Karnad,Farida Jalal,"1,050"
https://www.imdb.com/title/tt0069810/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,43,Bobby,1973,168 min,"Comedy, Musical, Romance",7.1,"Mr. Nath lives a very wealthy lifestyle in India along with his wife, Sushma, and a 6 year old son, Raj. Both he and Sushma lead a very busy life, so much so that they have no quality time ...                 »",Raj Kapoor,Rishi Kapoor,Dimple Kapadia,Pran,Prem Nath,"1,370"
https://www.imdb.com/title/tt0397551/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,44,My Faraway Bride,2006,95 min,"Comedy, Drama, Romance",4.7,"My Bollywood Bride tells the story of Alex, a copy-writer dreaming of being an adventure novelist someday, who meets and romances Indian beauty Reena, while she is vacationing in California...                 »",Rajeev Virani,Jason Lewis,Kashmira Shah,Gulshan Grover,Sanjay Suri,590
https://www.imdb.com/title/tt5608972/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,45,Bir Baba Hindu,2016,112 min,"Action, Adventure, Comedy",3.4,"A disillusioned head of a mob falls in love with his yoga instructor. When she is kidnapped, he has to embark on journey from Istanbul to Mumbai to save her.",Sermiyan Midyat,Sermiyan Midyat,Burak Satibol,Nicole Faria,Safak Sezer,"1,530"
https://www.imdb.com/title/tt7371104/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,46,GRADE,2017,64 min,Drama,6.2,Grade is first ever film made in India to address Films classification Subject. Grade is a story of girl Sapna and her struggle to get work and act in films. Film gives message- Films ...                 »,Anup Samaddar,Mrinalini Chatterjee,Swati Ghosh,Mrinalini Chatterjee,Malay Ghosh,15
https://www.imdb.com/title/tt5216810/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,47,Bollywood Diaries,2016,123 min,Drama,6,The passionate journey of three Bollywood fanatics who wish to make it big in the industry.,K.D. Satyam,Raima Sen,Salim Diwan,Ashish Vidyarthi,Karuna Pandey,224
https://www.imdb.com/title/tt4493550/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,48,Flat 211,2017,,"Crime, Mystery, Thriller",7.1,An incident occurs at Flat 211 and the characters connected to this flat get involved in the incident leading to a mess. The mysterious identity of the person responsible for the incident grows leading to a dramatic turn of events.,Sunil Sanjan,Jayesh Raj,Sonal Singh,Samonica Shrivastava,Digvijay Singh,35
https://www.imdb.com/title/tt0106541/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BMzk5YTA1OTEtM2Y0MC00ZDY5LWI4ODctMTBiYjViODBmNTM3XkEyXkFqcGdeQXVyNTE0MDc0NTM@._V1_UY209_CR4,0,140,209_AL_.jpg",49,Chandra Mukhi,1993,,"Comedy, Fantasy, Romance",3.9,"In order to acquire his wealth and estate a young boy, Raja Rai is abused by his uncle, Madan and step-mother. Fortunately for him a female alien from another planet descended on Earth in ...                 »",Debaloy Dey,Maya Alagh,Tinnu Anand,Mohnish Bahl,Avtar Gill,408
https://www.imdb.com/title/tt1172587/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BMjIyOTg2NzAwM15BMl5BanBnXkFtZTcwMTUxNjU0OA@@._V1_UY209_CR8,0,140,209_AL_.jpg",50,Delhi Safari,2012,96 min,"Animation, Comedy, Drama",5.7,A group of animals plan a trip to Delhi in order to ask the parliament why the forest they live in is on the verge of destruction.,Nikkhil Advani,Cary Elwes,Christopher Lloyd,Tara Strong,Brad Garrett,"1,411"
,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,101,Omar Gatlato,1977,90 min,"Comedy, Drama",6.6,A somewhat cynical but realistic look at the alienation of men in Algerian society.,Merzak Allouache,Boualem Benani,Aziz Degga,Farida Guenaneche,Rabah Leghaa,105
,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,102,Meinu Ek Ladki Chaahiye,2014,,"Comedy, Crime, Drama",3.5,The movie is a comical social satire portrays a 'Guru' and a 'Shishya' trying to change other's viewpoints and make them walk on the right path.,Abhishek Bindal,Puru Chibber,Reecha Sinha,Rashee Bindal,Raghuvir Yadav,8
,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,103,Raving Rabbids: Travel in Time,2010,,"Action, Adventure, Comedy",5.5,"This new party game will permit you and your ""rabbids"", to travel in time with a time washing machine. You'll have the possibility to change history and bring a mess every time, everywhere.",Cédric Royer,Patrice Baudrier,Thierry Kazazian,Yoann Perrier,Véronique Picciotto,14
,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,104,Holly - Bolly,2004,12 min,"Comedy, Short, Drama",6.9,Two young film makers are forced to go cross genre,Dishad Husain,Robert Atiko,Mark Forbes,Honey Kalaria,Riz Meedin,25
